O.K.	they gave us the O.K. to go ahead
laser physics	"She was appointed an Officer of the Order of Australia (AO) in the Queen's 2018 Birthday Honours List for ""distinguished service to laser physics and nano-optics as a researcher, mentor and academic, to the promotion of educational programs, and to women in science""."
laser physics	"In 2001 he was elected a Fellow of the American Physical Society for ""his contributions to laser physics and for his scientific leadership as Director of Brookhaven National Laboratory""."
laser physics	He has made pioneering contributions in the fields of Quantum computing, laser physics and quantum optics.
life sciences	He later returned to Texas A&amp;M to earn his degree in agricultural and life sciences in 2002.
life sciences	In 2009, the life sciences sector led the market with $272 million or 24% of total capital raised, followed by the software sector with $258 million or 23%, the communications sector with $219 million or 20%, and the Internet sector with 13% of capital raised in 2009.
life sciences	"Students enthusiastic about the life sciences can join the club which divides students into different ""events""."
life sciences	There are courses in history of pharmacy, history of natural sciences and life sciences on a regular basis.
life sciences	Collins is also faculty lead for life sciences at the MIT Jameel Clinic since 2018.
life sciences	In May 2011, Erasmus Medical Center signed an agreement with California-based Complete Genomics (Nasdaq: GNOM), a life sciences company that has developed and commercialized a proprietary DNA sequencing platform for human genome sequencing and analysis.
life sciences	Over 60 research groups from the Munich area participate in the program, covering many aspects of life sciences including biochemistry, cell biology, molecular medicine, neurobiology and structural biology.
life sciences	In 2017, Belldegrun became the co-founder and senior managing director of Vida Ventures, a Boston-based life sciences investment firm that consists of scientists, physicians, entrepreneurs, and investors passionate about building and funding breakthroughs in biomedicine.
life sciences	The Fraunhofer Institute for Cell Therapy and Immunology IZI, located in Leipzig, Germany, has the objective to find solutions to specific problems at the interfaces between medicine, life sciences and engineering for partners active in medicine-related industries and businesses.
life sciences	"Bill Bryson wrote that ""without realizing it, Darwin and Mendel laid the groundwork for all of life sciences in the twentieth century."
life sciences	The College of Natural Sciences consists of thirteen departments ranging from the physical to the life sciences and two schools, the Stockbridge School of Agriculture and the School of Earth and Sustainability.
life sciences	From 2011 to 2013 Raffel served as senior vice president and chief commercial officer at Complete Genomics, a life sciences company that specializes in human genome sequencing and analysis.
life sciences	The life sciences company, based in the Mountain View, California, began operations in 2006, and provides sequencing and analysis of human genomic data.
life sciences	Its interests were in using knowledge gained in research to benefit society, and the impact of legislation on the life sciences industry.
